best_ts,best_ini,opt_val,time_ts
3290,3877,3002,0.015625
3290,3877,3002,0.015625
3290,3877,3002,0.015625
3290,3877,3002,0.015625
3290,3877,3002,0.031250
3290,3877,3002,0.015625
3290,3877,3002,0.031250
3290,3877,3002,0.015625
3290,3877,3002,0.031250
3290,3877,3002,0.031250
3290,3877,3002,0.015625
3290,3877,3002,0.031250
3290,3877,3002,0.000000
3290,3877,3002,0.031250
3290,3877,3002,0.031250
3290,3877,3002,0.031250
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3002,3877,3002,0.046875
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3002,3877,3002,0.046875
3002,3877,3002,0.031250
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3002,3877,3002,0.031250
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3002,3877,3002,0.015625
3002,3877,3002,0.015625
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3002,3877,3002,0.031250
3002,3877,3002,0.031250
3002,3877,3002,0.015625
3002,3877,3002,0.031250
3181,3877,3002,0.046875
3181,3877,3002,0.031250
3181,3877,3002,0.015625
3181,3877,3002,0.000000
3181,3877,3002,0.031250
3181,3877,3002,0.046875
3181,3877,3002,0.031250
3181,3877,3002,0.046875
3181,3877,3002,0.031250
3181,3877,3002,0.015625
3181,3877,3002,0.046875
3181,3877,3002,0.062500
3181,3877,3002,0.015625
3181,3877,3002,0.031250
3181,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.015625
3179,3877,3002,0.015625
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.015625
3179,3877,3002,0.015625
3179,3877,3002,0.015625
3179,3877,3002,0.031250
3179,3877,3002,0.046875
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.015625
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3179,3877,3002,0.031250
3138,3877,3002,0.031250
3138,3877,3002,0.046875
3138,3877,3002,0.015625
3138,3877,3002,0.031250
3138,3877,3002,0.031250
3138,3877,3002,0.015625
3138,3877,3002,0.046875
3138,3877,3002,0.031250
3138,3877,3002,0.031250
3138,3877,3002,0.015625
3138,3877,3002,0.031250
3138,3877,3002,0.031250
3138,3877,3002,0.015625
3138,3877,3002,0.031250
3138,3877,3002,0.015625
3138,3877,3002,0.015625
3047,3877,3002,0.031250
3047,3877,3002,0.015625
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.031250
3047,3877,3002,0.031250
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.046875
3047,3877,3002,0.031250
