best_ts,best_ini,opt_val,time_ts
3425,4202,3421,0.031250
3425,4202,3421,0.015625
3425,4202,3421,0.046875
3425,4202,3421,0.000000
3425,4202,3421,0.000000
3553,4202,3421,0.062500
3553,4202,3421,0.062500
3553,4202,3421,0.015625
3553,4202,3421,0.031250
3553,4202,3421,0.062500
3553,4202,3421,0.015625
3553,4202,3421,0.031250
3553,4202,3421,0.062500
3553,4202,3421,0.015625
3553,4202,3421,0.046875
3553,4202,3421,0.046875
3695,4202,3421,0.031250
3695,4202,3421,0.031250
3695,4202,3421,0.015625
3695,4202,3421,0.046875
3695,4202,3421,0.031250
3695,4202,3421,0.046875
3695,4202,3421,0.046875
3695,4202,3421,0.046875
3695,4202,3421,0.015625
3695,4202,3421,0.015625
3695,4202,3421,0.015625
3695,4202,3421,0.031250
3695,4202,3421,0.046875
3695,4202,3421,0.031250
3695,4202,3421,0.015625
3695,4202,3421,0.046875
3695,4202,3421,0.015625
3695,4202,3421,0.015625
3695,4202,3421,0.015625
3695,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.046875
3724,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.031250
3724,4202,3421,0.031250
3724,4202,3421,0.015625
3724,4202,3421,0.046875
3724,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.031250
3724,4202,3421,0.031250
3724,4202,3421,0.031250
3724,4202,3421,0.015625
3724,4202,3421,0.015625
3724,4202,3421,0.031250
3724,4202,3421,0.015625
3724,4202,3421,0.031250
3724,4202,3421,0.031250
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.031250
3659,4202,3421,0.015625
3659,4202,3421,0.031250
3659,4202,3421,0.015625
3659,4202,3421,0.000000
3659,4202,3421,0.015625
3659,4202,3421,0.031250
3659,4202,3421,0.015625
3659,4202,3421,0.000000
3659,4202,3421,0.031250
3659,4202,3421,0.000000
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.000000
3659,4202,3421,0.000000
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.015625
3659,4202,3421,0.031250
3659,4202,3421,0.031250
3659,4202,3421,0.015625
3652,4202,3421,0.015625
3652,4202,3421,0.031250
3652,4202,3421,0.031250
3652,4202,3421,0.031250
3652,4202,3421,0.015625
3652,4202,3421,0.031250
3652,4202,3421,0.015625
3652,4202,3421,0.031250
3652,4202,3421,0.031250
3652,4202,3421,0.031250
3652,4202,3421,0.015625
3652,4202,3421,0.015625
3652,4202,3421,0.015625
3652,4202,3421,0.031250
3652,4202,3421,0.031250
3652,4202,3421,0.015625
3652,4202,3421,0.015625
