best_ts,best_ini,opt_val,time_ts
9514,11110,8833,0.000000
9514,11110,8833,0.015625
9514,11110,8833,0.031250
9514,11110,8833,0.031250
9514,11110,8833,0.031250
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.031250
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.000000
9514,11110,8833,0.031250
9514,11110,8833,0.031250
9514,11110,8833,0.015625
9514,11110,8833,0.015625
9514,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.015625
9170,11110,8833,0.062500
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.015625
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.015625
9170,11110,8833,0.031250
9170,11110,8833,0.031250
9170,11110,8833,0.015625
9170,11110,8833,0.015625
9170,11110,8833,0.031250
8893,11110,8833,0.031250
8893,11110,8833,0.031250
8893,11110,8833,0.046875
8893,11110,8833,0.046875
8893,11110,8833,0.046875
8893,11110,8833,0.046875
8893,11110,8833,0.015625
8893,11110,8833,0.031250
8893,11110,8833,0.015625
8893,11110,8833,0.031250
8893,11110,8833,0.031250
8893,11110,8833,0.015625
8893,11110,8833,0.031250
8893,11110,8833,0.031250
8893,11110,8833,0.031250
8893,11110,8833,0.015625
8893,11110,8833,0.046875
8893,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.031250
8917,11110,8833,0.015625
8917,11110,8833,0.031250
8917,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.031250
8917,11110,8833,0.031250
8917,11110,8833,0.015625
8917,11110,8833,0.031250
8917,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.046875
8917,11110,8833,0.046875
8917,11110,8833,0.031250
8917,11110,8833,0.031250
8917,11110,8833,0.000000
8917,11110,8833,0.000000
8917,11110,8833,0.015625
8917,11110,8833,0.000000
8917,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.015625
8917,11110,8833,0.031250
9022,11110,8833,0.015625
9022,11110,8833,0.031250
9022,11110,8833,0.031250
9022,11110,8833,0.000000
9022,11110,8833,0.015625
9022,11110,8833,0.015625
9022,11110,8833,0.031250
9022,11110,8833,0.015625
9022,11110,8833,0.015625
9022,11110,8833,0.031250
9022,11110,8833,0.015625
9022,11110,8833,0.031250
9022,11110,8833,0.000000
9022,11110,8833,0.031250
9022,11110,8833,0.000000
9022,11110,8833,0.000000
