best_ts,best_ini,opt_val,time_ts
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.031250
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.031250
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.031250
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.000000
8213,11295,8118,0.031250
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.000000
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8213,11295,8118,0.015625
8118,11295,8118,0.031250
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.000000
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8118,11295,8118,0.031250
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8118,11295,8118,0.031250
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8118,11295,8118,0.031250
8118,11295,8118,0.031250
8118,11295,8118,0.015625
8118,11295,8118,0.000000
8118,11295,8118,0.000000
8118,11295,8118,0.015625
8197,11295,8118,0.000000
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.000000
8197,11295,8118,0.031250
8197,11295,8118,0.000000
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.000000
8197,11295,8118,0.031250
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.031250
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.000000
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.015625
8197,11295,8118,0.000000
8197,11295,8118,0.015625
8197,11295,8118,0.015625
