best_ts,best_ini,opt_val,time_ts
1154,1284,997,0.031250
1154,1284,997,0.046875
1154,1284,997,0.046875
1154,1284,997,0.031250
1154,1284,997,0.031250
1154,1284,997,0.046875
1154,1284,997,0.062500
1154,1284,997,0.062500
1154,1284,997,0.062500
1154,1284,997,0.062500
1154,1284,997,0.015625
1154,1284,997,0.062500
1154,1284,997,0.031250
1152,1284,997,0.046875
1152,1284,997,0.031250
1152,1284,997,0.031250
1152,1284,997,0.046875
1152,1284,997,0.031250
1152,1284,997,0.046875
1152,1284,997,0.046875
1152,1284,997,0.031250
1152,1284,997,0.046875
1152,1284,997,0.031250
1152,1284,997,0.031250
1152,1284,997,0.046875
1152,1284,997,0.046875
1152,1284,997,0.062500
1152,1284,997,0.015625
1152,1284,997,0.046875
1107,1284,997,0.062500
1107,1284,997,0.062500
1107,1284,997,0.031250
1107,1284,997,0.062500
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.015625
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.031250
1107,1284,997,0.046875
1107,1284,997,0.046875
1107,1284,997,0.031250
1107,1284,997,0.031250
1055,1284,997,0.031250
1055,1284,997,0.062500
1055,1284,997,0.046875
1055,1284,997,0.062500
1055,1284,997,0.046875
1055,1284,997,0.046875
1055,1284,997,0.046875
1055,1284,997,0.046875
1055,1284,997,0.031250
1055,1284,997,0.031250
1055,1284,997,0.031250
1055,1284,997,0.046875
1055,1284,997,0.046875
1055,1284,997,0.046875
1055,1284,997,0.031250
1055,1284,997,0.046875
1098,1284,997,0.062500
1098,1284,997,0.031250
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.062500
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.031250
1098,1284,997,0.046875
1098,1284,997,0.046875
1098,1284,997,0.015625
1098,1284,997,0.046875
1223,1284,997,0.015625
1223,1284,997,0.046875
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.046875
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.015625
1223,1284,997,0.031250
1223,1284,997,0.046875
1223,1284,997,0.000000
1223,1284,997,0.046875
1223,1284,997,0.046875
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1223,1284,997,0.031250
1202,1284,997,0.031250
