filename,mean_best_ts,mean_best_ini,mean_ts,low_best_ts,low_best_ini,opt_val,std_best_ts,std_best_ini,std_time_ts,mean_err_best_ts,mean_err_best_ini,low_err_best_ts,low_err_best_ini
burma14_25_3,3336.0,4144.0,0.00781,3336.0,4144.0,3336.0,0.0,0.0,0.00812,0.0,24.22062,0.0,24.22062
burma14_25_4,3701.07,3839.0,0.01359,3696.0,3839.0,3696.0,6.34075,0.0,0.01004,0.13718,3.86905,0.0,3.86905
burma14_25_5,3362.67,4048.0,0.01094,3346.0,4048.0,3346.0,9.26397,0.0,0.00841,0.49821,20.98027,0.0,20.98027
burma14_25_6,3619.66,5086.0,0.01156,3610.0,5086.0,3610.0,35.21029,0.0,0.00901,0.26759,40.88643,0.0,40.88643
burma14_25_7,3355.1,4291.0,0.01344,3346.0,4291.0,3346.0,5.95735,0.0,0.01083,0.27197,28.24268,0.0,28.24268
burma14_25_8,3378.49,4214.0,0.01125,3371.0,4214.0,3371.0,27.30073,0.0,0.00858,0.22219,25.00742,0.0,25.00742
burma14_25_9,3869.25,4296.0,0.00844,3834.0,4296.0,3834.0,37.43244,0.0,0.00779,0.91941,12.05008,0.0,12.05008
burma14_50_1,4417.59,4687.0,0.00812,4412.0,4687.0,4412.0,6.43598,0.0,0.00869,0.1267,6.233,0.0,6.233
burma14_50_10,4468.85,4716.0,0.01078,4467.0,4716.0,4467.0,2.41402,0.0,0.00818,0.04141,5.57421,0.0,5.57421
burma14_50_2,3749.71,4250.0,0.01062,3748.0,4250.0,3748.0,5.43745,0.0,0.00852,0.04562,13.39381,0.0,13.39381
burma14_50_3,3891.76,4644.0,0.00812,3870.0,4644.0,3870.0,30.31736,0.0,0.00811,0.56227,20.0,0.0,20.0
burma14_50_4,3324.82,4107.0,0.01094,3323.0,4107.0,3323.0,4.51083,0.0,0.00924,0.05477,23.59314,0.0,23.59314
burma14_50_5,3524.0,4164.0,0.00812,3524.0,4164.0,3524.0,0.0,0.0,0.00841,0.0,18.16118,0.0,18.16118
burma14_50_6,3846.0,4425.0,0.01219,3846.0,4425.0,3846.0,0.0,0.0,0.00784,0.0,15.0546,0.0,15.0546
burma14_50_7,3523.31,4040.0,0.01281,3408.0,4040.0,3408.0,86.30083,0.0,0.00808,3.38351,18.5446,0.0,18.5446
burma14_50_8,3506.0,3988.0,0.01141,3506.0,3988.0,3506.0,0.0,0.0,0.0088,0.0,13.74786,0.0,13.74786
burma14_50_9,4519.0,5466.0,0.01453,4519.0,5466.0,4519.0,0.0,0.0,0.00741,0.0,20.95596,0.0,20.95596
fri26_10_1,1042.0,1096.0,0.02703,1042.0,1096.0,937.0,0.0,0.0,0.01033,11.20598,16.96905,11.20598,16.96905
fri26_10_10,1034.0,1112.0,0.02766,1034.0,1112.0,937.0,0.0,0.0,0.00985,10.35219,18.67663,10.35219,18.67663
fri26_10_2,1034.0,1112.0,0.02672,1034.0,1112.0,937.0,0.0,0.0,0.01111,10.35219,18.67663,10.35219,18.67663
fri26_10_3,1092.0,1160.0,0.02781,1092.0,1160.0,1009.0,0.0,0.0,0.01027,8.22597,14.96531,8.22597,14.96531
fri26_10_4,1026.0,1096.0,0.02734,1026.0,1096.0,955.0,0.0,0.0,0.01257,7.43455,14.7644,7.43455,14.7644
fri26_10_5,1135.86,1284.0,0.04109,1055.0,1284.0,997.0,56.03464,0.0,0.01282,13.92778,28.78636,5.81745,28.78636
fri26_10_6,1024.0,1063.0,0.02859,1024.0,1063.0,937.0,0.0,0.0,0.01327,9.28495,13.44717,9.28495,13.44717
fri26_10_7,1129.85,1231.0,0.03938,1063.0,1231.0,1039.0,45.90825,0.0,0.01179,8.74398,18.47931,2.30991,18.47931
fri26_10_8,1034.0,1112.0,0.02734,1034.0,1112.0,953.0,0.0,0.0,0.00921,8.49948,16.68416,8.49948,16.68416
fri26_10_9,1092.56,1434.0,0.03203,1031.0,1434.0,937.0,41.7625,0.0,0.01404,16.60192,53.04162,10.03202,53.04162
fri26_25_1,1226.0,1251.0,0.02547,1226.0,1251.0,1055.0,0.0,0.0,0.01119,16.20853,18.5782,16.20853,18.5782
fri26_25_10,1140.0,1145.0,0.02469,1140.0,1145.0,1093.0,0.0,0.0,0.00968,4.30009,4.75755,4.30009,4.75755
fri26_25_2,1315.58,1446.0,0.03453,1251.0,1446.0,1201.0,43.22411,0.0,0.01437,9.54038,20.39967,4.1632,20.39967
fri26_25_3,1253.16,1355.0,0.03,1140.0,1355.0,1139.0,33.36906,0.0,0.01098,10.02283,18.964,0.0878,18.964
fri26_25_4,1373.0,1472.0,0.0275,1373.0,1472.0,1233.0,0.0,0.0,0.00966,11.35442,19.38362,11.35442,19.38362
fri26_25_5,1194.87,1227.0,0.02688,1083.0,1227.0,1017.0,11.24336,0.0,0.01128,17.48968,20.64897,6.48968,20.64897
fri26_25_6,1270.0,1277.0,0.0275,1270.0,1277.0,1172.0,0.0,0.0,0.01062,8.36177,8.95904,8.36177,8.95904
fri26_25_7,1264.26,1409.0,0.02891,1158.0,1409.0,1101.0,64.86688,0.0,0.01177,14.82834,27.97457,5.17711,27.97457
fri26_25_8,1080.68,1224.0,0.04047,1001.0,1224.0,955.0,56.46448,0.0,0.01346,13.16021,28.16754,4.81675,28.16754
fri26_25_9,1123.0,1295.0,0.02734,1123.0,1295.0,1081.0,0.0,0.0,0.01022,3.88529,19.79648,3.88529,19.79648
fri26_50_1,1446.15,1486.0,0.02797,1419.0,1486.0,1273.0,16.52657,0.0,0.01331,13.60173,16.73213,11.46897,16.73213
fri26_50_10,1083.0,1097.0,0.02719,1083.0,1097.0,1048.0,0.0,0.0,0.01003,3.33969,4.67557,3.33969,4.67557
fri26_50_2,1165.82,1209.0,0.03328,1102.0,1209.0,1045.0,36.2037,0.0,0.01426,11.56172,15.69378,5.45455,15.69378
fri26_50_3,1205.0,1236.0,0.02422,1205.0,1236.0,1035.0,0.0,0.0,0.01218,16.42512,19.42029,16.42512,19.42029
fri26_50_4,1247.61,1497.0,0.03078,1227.0,1497.0,1185.0,10.14485,0.0,0.01554,5.28354,26.32911,3.5443,26.32911
fri26_50_5,1335.48,1371.0,0.02469,1234.0,1371.0,1185.0,40.94447,0.0,0.01087,12.69873,15.6962,4.13502,15.6962
fri26_50_6,1264.56,1366.0,0.02641,1181.0,1366.0,1158.0,49.43305,0.0,0.01283,9.20207,17.962,1.98618,17.962
fri26_50_7,1253.85,1296.0,0.02453,1206.0,1296.0,1150.0,29.28186,0.0,0.01255,9.03043,12.69565,4.86957,12.69565
