best_ts,best_ini,opt_val,time_ts
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.000000
1352,1371,1185,0.031250
1352,1371,1185,0.000000
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.000000
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.046875
1352,1371,1185,0.000000
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.046875
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.031250
1352,1371,1185,0.000000
1352,1371,1185,0.031250
1352,1371,1185,0.015625
1352,1371,1185,0.031250
1234,1371,1185,0.031250
1234,1371,1185,0.031250
1234,1371,1185,0.015625
1234,1371,1185,0.031250
1234,1371,1185,0.031250
1234,1371,1185,0.031250
1234,1371,1185,0.062500
1234,1371,1185,0.015625
1234,1371,1185,0.015625
1234,1371,1185,0.046875
1234,1371,1185,0.031250
1234,1371,1185,0.015625
1234,1371,1185,0.031250
1234,1371,1185,0.000000
