best_ts,best_ini,opt_val,time_ts
2848,4162,2709,0.046875
2848,4162,2709,0.000000
2848,4162,2709,0.031250
2848,4162,2709,0.031250
2848,4162,2709,0.031250
2848,4162,2709,0.031250
2796,4162,2709,0.046875
2796,4162,2709,0.046875
2796,4162,2709,0.031250
2796,4162,2709,0.031250
2796,4162,2709,0.031250
2796,4162,2709,0.031250
2796,4162,2709,0.015625
2796,4162,2709,0.046875
2796,4162,2709,0.015625
2796,4162,2709,0.046875
2796,4162,2709,0.046875
2796,4162,2709,0.046875
2796,4162,2709,0.015625
2796,4162,2709,0.031250
2796,4162,2709,0.015625
2796,4162,2709,0.031250
2796,4162,2709,0.031250
3016,4162,2709,0.015625
3016,4162,2709,0.000000
3016,4162,2709,0.015625
3016,4162,2709,0.000000
3016,4162,2709,0.046875
3016,4162,2709,0.031250
3016,4162,2709,0.031250
3016,4162,2709,0.015625
3016,4162,2709,0.031250
3016,4162,2709,0.031250
3016,4162,2709,0.015625
3016,4162,2709,0.046875
3016,4162,2709,0.031250
3016,4162,2709,0.031250
3016,4162,2709,0.046875
3016,4162,2709,0.031250
3016,4162,2709,0.031250
3016,4162,2709,0.031250
3077,4162,2709,0.046875
3077,4162,2709,0.031250
3077,4162,2709,0.000000
3077,4162,2709,0.046875
3077,4162,2709,0.015625
3077,4162,2709,0.046875
3077,4162,2709,0.046875
3077,4162,2709,0.031250
3077,4162,2709,0.031250
3077,4162,2709,0.046875
3077,4162,2709,0.046875
3077,4162,2709,0.031250
3077,4162,2709,0.015625
3077,4162,2709,0.031250
3077,4162,2709,0.031250
3077,4162,2709,0.031250
3077,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.046875
2784,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.046875
2784,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.046875
2784,4162,2709,0.046875
2784,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.000000
2784,4162,2709,0.031250
2784,4162,2709,0.015625
2784,4162,2709,0.031250
2784,4162,2709,0.015625
2784,4162,2709,0.031250
2784,4162,2709,0.031250
2784,4162,2709,0.046875
2805,4162,2709,0.031250
2805,4162,2709,0.031250
2805,4162,2709,0.015625
2805,4162,2709,0.015625
2805,4162,2709,0.031250
2805,4162,2709,0.015625
2805,4162,2709,0.031250
2805,4162,2709,0.015625
2805,4162,2709,0.015625
2805,4162,2709,0.000000
2805,4162,2709,0.031250
2805,4162,2709,0.015625
2805,4162,2709,0.015625
2805,4162,2709,0.015625
2805,4162,2709,0.031250
2805,4162,2709,0.031250
2805,4162,2709,0.031250
2805,4162,2709,0.031250
2805,4162,2709,0.031250
2805,4162,2709,0.015625
2805,4162,2709,0.031250
2805,4162,2709,0.031250
