best_ts,best_ini,opt_val,time_ts
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.015625
3115,3438,3115,0.046875
3115,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.000000
3115,3438,3115,0.015625
3115,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.015625
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.000000
3405,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.015625
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.031250
3405,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.000000
3405,3438,3115,0.031250
3405,3438,3115,0.015625
3405,3438,3115,0.031250
3405,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.031250
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.031250
3261,3438,3115,0.031250
3261,3438,3115,0.000000
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.031250
3261,3438,3115,0.031250
3261,3438,3115,0.015625
3261,3438,3115,0.046875
3261,3438,3115,0.015625
3261,3438,3115,0.015625
3261,3438,3115,0.015625
3200,3438,3115,0.015625
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.015625
3200,3438,3115,0.031250
3200,3438,3115,0.000000
3200,3438,3115,0.031250
3200,3438,3115,0.015625
3200,3438,3115,0.015625
3200,3438,3115,0.015625
3200,3438,3115,0.015625
3200,3438,3115,0.031250
3200,3438,3115,0.015625
3200,3438,3115,0.031250
3200,3438,3115,0.015625
3200,3438,3115,0.015625
3200,3438,3115,0.000000
3200,3438,3115,0.015625
3200,3438,3115,0.000000
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.015625
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3200,3438,3115,0.031250
3115,3438,3115,0.031250
3115,3438,3115,0.015625
3115,3438,3115,0.015625
3115,3438,3115,0.015625
3115,3438,3115,0.031250
3115,3438,3115,0.015625
3115,3438,3115,0.031250
3115,3438,3115,0.000000
